app_dataGenerationInterval,constraintAreaMaxX,constraintAreaMaxY,mobility_noOfLocations,mobility_Hosts,mobility_speed,numNodes,app_dataSizeInBytes,forwarding_maximumCacheSize,peakdiskspaceusedbytes,peakramusedsimbytes,peakramusedresultsbytes,totaljobclocktimesec,mobility_nodeId,applicationLayer_KHeraldAppForDifferentiatedTraffic,applicationLayer_KMessengerApp,forwardingLayer_KKeetchiLayer,forwardingLayer_KOptimumDelayRoutingLayer,forwardingLayer_KProphetRoutingLayer,forwardingLayer_KRRSLayer,forwardingLayer_KSpraywaitRoutingLayer,linkLayer_KWirelessInterfaceWithContactTraces,mobilityType_SWIMMobility,mobilityType_ContactTraces
90,500,500,100,50,1.5,10,10000,100000000,1526351178,681267200,762765312,130.187741,0,0,0,1,0,0,0,0,0,1,0
9,1500,1500,200,500,15.0,50,10000,5000000,9734245669,2370682880,3817926656,839.684548,0,0,1,0,0,0,1,0,0,1,0
90,1500,1500,200,50,1.0,30,10000,5000000,4581708176,1648312320,1697021952,479.083264,0,0,1,0,0,0,0,1,0,1,0
9,1000,1000,100,50,1.0,50,10000,5000000,8117101701,2691747840,3809882112,927.776051,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,54,10000,100300000,8441559383,2285195264,3782946816,815.90436,0,1,0,0,0,0,0,0,1,0,1
1,500,500,100,50,1.5,25,1000000,999999,12306795208,1740283904,1745240064,937.526811,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
90,0,0,0,0,0.0,62,100000,5000000,164149821,3066626048,97964032,25.040724,0,0,0,0,0,0,0,1,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464452,3196407808,101543936,44.539156,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8471455762,2291838976,3783286784,985.008823,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,1000,15.0,50,60400,801000000,11662665740,4420177920,3851526144,4195.53541,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310467176,3196387328,101552128,45.686954,0,1,0,0,0,0,0,0,1,0,1
90,1500,1500,50,30,1.5,30,100000,5000000,4589434574,1655648256,1698672640,412.501831,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464452,3196407808,101543936,44.539156,0,1,0,0,0,0,0,0,1,0,1
900,1500,1500,200,500,1.5,70,10000,5000000,11716957558,4260003840,3845046272,1065.218062,0,0,0,0,0,0,0,0,0,1,0
90,1000,1000,400,100,35.0,70,10000,5000000,10806506421,3612299264,3807870976,1091.435756,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,49,10000,0,7637444838,2128134144,3780259840,1110.942983,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,414596924,2906099712,102252544,52.251585,0,1,0,1,0,0,0,0,1,0,1
